time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
588681,18:16:20.399,1.260,-2.660,0.140,-0.260,0.958,0.142
588695,18:16:20.400,1.610,-0.980,-0.280,-0.261,0.958,0.141
588709,18:16:20.401,-0.910,15.750,0.980,-0.259,0.959,0.141
588722,18:16:20.402,3.430,-3.920,16.660,-0.262,0.958,0.143
588736,18:16:20.403,-0.490,-1.820,1.330,-0.260,0.958,0.141
588791,18:16:20.473,-0.350,-3.220,1.540,-0.260,0.958,0.142
588804,18:16:20.474,3.500,-1.400,-0.770,-0.257,0.959,0.141
588818,18:16:20.483,-1.680,-1.330,-0.910,-0.258,0.957,0.141
588832,18:16:20.485,-1.540,-1.050,2.030,-0.259,0.958,0.142
588845,18:16:20.487,3.150,-4.900,-0.840,-0.260,0.960,0.142
588859,18:16:20.495,15.960,-1.540,0.490,-0.258,0.957,0.142
588873,18:16:20.496,-1.960,-1.190,1.120,-0.259,0.957,0.141
588886,18:16:20.497,2.660,-3.850,-0.630,-0.260,0.958,0.141
588900,18:16:20.513,3.010,-4.550,-0.770,-0.260,0.957,0.142
588914,18:16:20.515,1.540,-3.990,0.560,-0.262,0.959,0.142
588968,18:16:20.650,-1.750,-1.050,0.630,-0.257,0.959,0.142
588982,18:16:20.652,2.450,-3.500,0.350,-0.259,0.956,0.141
588996,18:16:20.660,-0.280,-2.310,1.260,-0.259,0.956,0.141
589009,18:16:20.662,2.590,-2.170,-0.840,-0.257,0.960,0.142
589023,18:16:20.663,4.690,-2.800,-0.560,-0.258,0.960,0.142
589037,18:16:20.671,3.850,-3.990,0.840,-0.261,0.957,0.142
589050,18:16:20.673,-0.770,-2.380,1.680,-0.261,0.957,0.142
589063,18:16:20.674,3.010,-2.100,1.750,-0.259,0.959,0.142
589077,18:16:20.689,3.150,-4.270,-0.910,-0.259,0.958,0.142
589090,18:16:20.690,1.190,-3.010,0.350,-0.259,0.959,0.143
589144,18:16:20.828,2.940,-1.050,-1.050,-0.259,0.961,0.142
589158,18:16:20.830,1.120,-2.380,0.840,-0.260,0.959,0.143
589172,18:16:20.838,2.730,-2.310,-1.120,-0.258,0.958,0.141
589185,18:16:20.840,0.210,-1.330,0.770,-0.262,0.959,0.142
589199,18:16:20.841,1.680,-5.320,-0.490,-0.257,0.958,0.139
589213,18:16:20.849,0.560,-2.170,0.630,-0.260,0.958,0.143
589227,18:16:20.851,1.190,-2.380,0.630,-0.257,0.959,0.143
589241,18:16:20.852,1.050,-2.590,0.280,-0.259,0.958,0.141
589255,18:16:20.866,0.490,-3.570,0.910,-0.258,0.957,0.140
589268,18:16:20.866,4.620,-4.270,0.630,-0.260,0.956,0.140
589322,18:16:21.004,0.840,-2.590,0.490,-0.260,0.958,0.142
589336,18:16:21.005,-0.420,-1.400,1.120,-0.259,0.960,0.141
589349,18:16:21.014,-0.070,-3.920,1.330,-0.261,0.959,0.141
589363,18:16:21.015,-1.260,-1.960,-0.490,-0.258,0.958,0.143
589377,18:16:21.016,-0.140,-2.520,-16.800,-0.260,0.957,0.143
589390,18:16:21.025,0.630,-1.120,0.420,-0.258,0.959,0.141
589404,18:16:21.026,0.910,-0.770,0.000,-0.261,0.959,0.142
589418,18:16:21.027,3.920,-4.340,0.840,-0.259,0.959,0.142
589431,18:16:21.044,0.280,-2.380,0.770,-0.260,0.958,0.141
589445,18:16:21.044,1.890,-1.610,-0.420,-0.260,0.957,0.141
589500,18:16:21.183,2.100,-3.150,-0.350,-0.261,0.958,0.142
589513,18:16:21.185,-0.350,0.350,0.560,-0.259,0.957,0.143
